# NPC single-cell occupancy audit -- included records
# run date: 2026-08-24 | source: Europe PMC REST + NCBI E-utilities
# NOT_FOUND = not stated in the retrieved text; never an assertion of absence
pmid	doi	year	journal	first_author	last_author	corresponding_affiliation	modality	tissue_primary	tissue_LN_met	tissue_distant_met	tissue_normal_NP	tissue_blood	n_patients	n_samples	n_cells	treatment_status	longitudinal	M_stage	NK_depth	NK_claim	EBV_DNA_link	accession	accession_includes_blood	source_field	source_snippet	note
40389670	10.1007/s12672-025-02506-2	2025	Discov Oncol	Zhang X	Xu Z	E. N. T. Department, The First People Hospital of Yongkang, No. 599, Jinshan West Road, Yongkang, Zhejiang, China.	scRNA	Y	N	N	Y	N	NOT_FOUND	NOT_FOUND	359566	unstated	N	unstated	cluster_only	CD8+ effector T cells and NK cells were markedly reduced in tumors	none	NOT_FOUND	UNKNOWN	fullText	Single-cell RNA library preparation used the 10 x Genomics Chromium platform and Single Cell 3' v3 kit, strictly following the manufacturer's protocol.	GSE102349/GSE53819/GSE68799 named in the paper are bulk validation cohorts, not the single-cell source
40392335	10.1007/s10565-025-10035-5	2025	Cell Biol Toxicol	Li H	Chen Y	Department of Pain Management, Shengjing Hospital of China Medical University, Shenyang, 110000, China.	scRNA	Y	N	N	Y	N	NOT_FOUND	NOT_FOUND	NOT_FOUND	unstated	N	unstated	absent	NOT_FOUND	none	NOT_FOUND	UNKNOWN	fullText	The 10 Chromium Single Cell platform was employed to barcode-label cell suspensions, enabling a loading range of 300-500,000 cells.	data availability states the generated datasets are not publicly available; TCGA-NPC used for bulk analyses
40530955	10.7554/elife.99849	2025	Elife	Li K	Meng H	Department of Oncology, Zhujiang Hospital, Southern Medical University, Guangzhou, China.	scRNA	Y	N	N	N	N	4	4	28957	post-CRT	N	unstated	cluster_only	activated NK cells elevated in radiosensitive versus radioresistant samples	none	NOT_FOUND	UNKNOWN	fullText	Following single-cell suspension preparation, library construction, sequencing analysis, and quality control of the obtained data, we acquired transcriptome data for a total of 28,957 cells.	supplementary file titles indicate 34 NPC bulk samples and 4 NPC single-cell samples; GSE32389 is an external bulk validation set
40543508	10.1016/j.xcrm.2025.102200	2025	Cell Rep Med	Liu SX	Zhong Q	State Key Laboratory of Oncology in South China, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Guangdong Provincial Clinical Research Center for Cancer, Sun Yat-sen University Cancer Center, Guangzhou 510060, P.R. China.	spatial;scRNA	Y	N	N	Y	N	135	NOT_FOUND	105784	post-ICI	N	unstated	absent	NOT_FOUND	none	NOT_FOUND	N	fullText	Raw sequencing data, including GeoMx DSP data, HEV RNA-seq data; and RNA-seq data of HUVECs after cytokine induction, have been deposited in the Genome Sequence Archive	new data are GeoMx DSP spatial (region-level, not single-cell resolution) plus bulk; the 105,784 vascular endothelial cells come from an integrated pan-cancer single-cell atlas. Cohort 1 = 135 patients
40691404	10.1038/s41588-025-02253-8	2025	Nat Genet	You R	Chen M	Nasopharyngeal Cancer Center, The Fifth Affiliated Hospital, Sun Yat-sen University, Zhuhai, The People's Republic of China. your5@mail.sysu.edu.cn.	scRNA;spatial	Y	N	N	N	N	24	39	NOT_FOUND	post-CRT	N	unstated	NOT_FOUND	NOT_FOUND	none	NOT_FOUND	UNKNOWN	abstract_only	we conducted single-cell and spatial transcriptomics analysis of 39 tumors from 24 patients to reveal the microenvironmental differences between primary and rNPC	primary versus recurrent NPC; full text not retrievable from Europe PMC
40746726	10.3389/fphar.2025.1648294	2025	Front Pharmacol	Quan Q	Zhang B	State Key Laboratory of Oncology in South China, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Guangdong Provincial Clinical Research Center for Cancer, Sun Yat-sen University Cancer Center, Guangzhou, China.	scRNA	Y	N	N	N	N	15	15	NOT_FOUND	unstated	N	unstated	cluster_only	key regulatory genes predominantly localized within the T & NK cell population	none	CNP0001341;CNP0001503	N	fullText	A total of 15 primary NPC tumor samples were collected for single-cell RNA sequencing (scRNA-seq).	each well designed to capture 8,000-14,000 cells; total cell count not stated
40818459	10.1016/j.xcrm.2025.102300	2025	Cell Rep Med	Yang Y	Guan XY	Department of Clinical Oncology, Li Ka Shing Faculty of Medicine, The University of Hong Kong, Hong Kong SAR, China; Department of Clinical Oncology, The University of Hong Kong-Shenzhen Hospital, Shenzhen, China.	spatial;scRNA	Y	N	N	Y	N	NOT_FOUND	NOT_FOUND	355955	unstated	N	unstated	absent	NOT_FOUND	none	GSE150825;GSE150430;GSE162025	Y	fullText	we generated an extensive scRNA-seq profile by integrating datasets from three independent studies. We processed the dataset and clustered a total of 355,955 single cells into major cell lineages	the single-cell component is an integration of three published datasets; the study's own new data are in-house Visium spatial transcriptomics (spot-level). GSE162025 contains paired blood
41067232	10.1016/j.medj.2025.100846	2025	Med	Xia TL	Chen MY	State Key Laboratory of Oncology in South China, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Guangdong Provincial Clinical Research Center for Cancer, Sun Yat-sen University Cancer Center, Guangzhou 510060, P.R. China.	spatial	Y	N	N	N	N	25	NOT_FOUND	NOT_FOUND	post-ICI	N	unstated	NOT_FOUND	NOT_FOUND	none	NOT_FOUND	UNKNOWN	abstract_only	Integrated genomic and spatial transcriptomic analyses were performed to characterize the patient population benefitting from this combination therapy.	25 patients with unresectable recurrent NPC; spatial platform not named in the retrieved abstract, so single-cell resolution is unconfirmed
41395113	10.1155/ijog/2281787	2025	Int J Genomics	Chen M	Li Z	Department of Otorhinolaryngology, The Second People's Hospital of Foshan, Foshan, China.	scRNA	Y	N	N	Y	N	NOT_FOUND	NOT_FOUND	NOT_FOUND	unstated	N	unstated	cluster_only	NOT_FOUND	none	NOT_FOUND	UNKNOWN	fullText	Researchers performed single-cell RNA sequencing on NPC and adjacent normal tissue samples.	cohort size not stated in retrieved text; data availability says data obtainable from the corresponding author
40265092	10.1016/j.jncc.2025.02.001	2025	J Natl Cancer Cent	Zhang X	Liu Y	Department of Hematology and Oncology, Chongqing University Cancer Hospital, Chongqing, China.	scRNA	N	Y	Y (site: cervical lymph node metastasis)	N	N	1	1	NOT_FOUND	unstated	N	unstated	cluster_only	NOT_FOUND	none	HRA005638	N	fullText	a tumor metastatic lymph node (TM_LN) of nasopharyngeal carcinoma	primarily an HIV-associated lymphoma study; exactly one NPC metastatic lymph node sample among 17 lymph node tissues profiled. NPC-specific cell count not stated
38547605	10.1016/j.bbrc.2024.149820	2024	Biochem Biophys Res Commun	Yao Y	Liu R	Queen Mary School, Nanchang University, Nanchang, China.	scRNA;scTCR;scBCR	Y	N	N	Y	N	10	10	NOT_FOUND	unstated	N	unstated	NOT_FOUND	NOT_FOUND	none	NOT_FOUND	UNKNOWN	abstract_only	we analyzed data from 7 patients with NPC and 3 patients with nasopharyngeal lymphatic hyperplasia (NLH)	7 NPC + 3 NLH; provenance of the data not stated in the retrieved abstract
39197193	10.1016/j.oraloncology.2024.106999	2024	Oral Oncol	Ge Y	He X	Department of Radiation Oncology, Jiangsu Cancer Hospital & Jiangsu Institute of Cancer Research & the Affiliated Cancer Hospital of Nanjing Medical University, Nanjing, Jiangsu 210009, China.	scRNA	Y	N	N	N	N	NOT_FOUND	NOT_FOUND	NOT_FOUND	unstated	N	unstated	NOT_FOUND	NOT_FOUND	none	NOT_FOUND	UNKNOWN	abstract_only	Single-cell transcriptome sequencing analysis of human nasopharyngeal carcinoma (NPC) revealed a significant enrichment of B cell subset characterized by high expression of EGR1 and EGR3	cohort size not stated in the retrieved abstract; full text not retrievable
39205595	10.1002/cbin.12236	2024	Cell Biol Int	Zhang Y	Hu S	Department of Otorhinolaryngology Head and Neck Surgery, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China.	scRNA	Y	N	N	N	N	NOT_FOUND	NOT_FOUND	NOT_FOUND	unstated	N	unstated	NOT_FOUND	NOT_FOUND	none	NOT_FOUND	UNKNOWN	abstract_only	using single-cell RNA sequencing techniques, we investigated the cellular landscape in NPC and oral cancers	NPC and oral cancer compared; NPC-specific cohort size not stated in the retrieved abstract
39231979	10.1038/s41467-024-52153-4	2024	Nat Commun	Liu Y	Bei JX	State Key Laboratory of Oncology in South China, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Guangdong Provincial Clinical Research Center for Cancer, Sun Yat-sen University Cancer Center, Guangzhou, 510060, P. R. China.	scRNA;scTCR;scBCR;spatial	Y	N	N	Y	Y	56	77	343829	mixed	N	unstated	cluster_only	20,051 NK cells identified among the annotated clusters	categorical	HRA006885;zenodo.12728503	Y	fullText	we performed single-cell RNA sequencing (scRNA-seq) analysis of transcriptome and immune cell receptor profiles for 77 samples, including 56 tumours and 10 peripheral blood mononuclear cells (PBMC) fr	73,477 of the 343,829 cells are PBMC; spatial transcriptomics covers 31,316 spots from 15 tumours
39415331	10.1002/ctm2.70061	2024	Clin Transl Med	Jiang Y	Liu G	Department of Nasopharyngeal Carcinoma, State Key Laboratory of Oncology in South China, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Guangdong Provincial Clinical Research Center for Cancer, Sun Yat-Sen University Cancer Center, Guangzhou, China.	scRNA	N	Y	N	N	N	6	11	87191	mixed	Y (paired before-treatment and on-treatment)	unstated	cluster_only	rising trend of T/NK cell ratio in the majority of on-treatment samples	categorical	zenodo.13736891	N	fullText	11 lymph node samples from six patients were fresh-processed for scRNA-seq and another 18 lymph node samples from nine patients for bulk RNA-seq	material is metastatic lymph node biopsies from high-risk metastatic locally advanced NPC; abstract's 11 scRNA-seq refers to samples not patients
39438442	10.1038/s41392-024-01988-w	2024	Signal Transduct Target Ther	Huang SW	Liu X	Department of Radiation Oncology, State Key Laboratory of Oncology in South China, Collaborative Innovation Center of Cancer Medicine, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Guangdong Provincial Clinical Research Center for Cancer, Sun Yat-sen University Cancer C	CyTOF	N	N	N	N	Y	24	NOT_FOUND	NOT_FOUND	post-ICI	Y (baseline and during treatment)	M0_only	subclustered	CD56+ NK cells resolved into phenotypic subpopulations by CyTOF	none	NOT_FOUND	N	fullText	A dynamic single-cell atlas was profiled using mass cytometry on peripheral blood mononuclear cell samples from 12 pairs of matched relapsing and non-relapsing patients in the aPD1-CRT arm	12 matched pairs = 24 patients profiled by CyTOF; locoregionally advanced NPC (CONTINUUM phase 3). GEO/EGA accessions in the paper are external validation datasets, not this study's CyTOF deposit
36739462	10.1038/s41467-023-35995-2	2023	Nat Commun	Lin M	Chen MY	Department of Nasopharyngeal Carcinoma, Sun Yat-sen University Cancer Center, 651 Dongfeng East Road, Guangzhou, 510060, P. R. China.	scRNA	Y	Y	Y (site: liver/lung/bone/other - de novo metastatic)	N	Y	2	11	NOT_FOUND	mixed	N	M1_included	absent	NOT_FOUND	none	HRA000034;HRA000035;HRA000036	N	fullText	we perform an integrative genomic analysis of 163 matched blood and primary, regional lymph node metastasis and distant metastasis tumour samples, combined with single-cell RNA-seq on 11 samples from 	163 matched blood+tissue samples are genomic (WES/WGS); the single-cell component is 11 samples from 2 patients. HRA000036 is the single-cell accession
37280275	10.1038/s41591-023-02369-6	2023	Nat Med	Lv J	Ma J	Guangdong Province Key Laboratory of Pharmaceutical Functional Genes, State Key Laboratory of Oncology in South China, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Department of Radiation Oncology, Sun Yat-sen University Cancer Center, Guangzhou, China.	scRNA;scTCR;scBCR	Y	N	N	N	N	15	30	NOT_FOUND	mixed	Y (treatment-naive and post-GP chemotherapy, matched pairs)	unstated	NOT_FOUND	NOT_FOUND	none	NOT_FOUND	UNKNOWN	abstract_only	using single-cell RNA sequencing and T cell and B cell receptor sequencing of matched, treatment-naive and post-GP chemotherapy NPC samples (n = 15 pairs)	15 matched pairs = 30 samples; full text not retrievable from Europe PMC
37349991	10.1002/ctm2.1315	2023	Clin Transl Med	Lin Q	Ma L	Tsinghua-Berkeley Shenzhen Institute, Tsinghua University, Beijing, China.	scRNA;snRNA;CyTOF	Y	N	N	Y	N	9	10	112442	unstated	N	unstated	NK_is_theme	a CD8+ natural killer (NK) cell cluster that is specific to the NPC TME	none	HRA003340	N	fullText	we collected three non-malignant tissues and seven NPC samples from nine donors via clinical biopsy	50,439 single cells + 62,003 single nuclei = 112,442; plus 670,044 cells from imaging mass cytometry. CyTOF here is imaging mass cytometry (IMC) on tissue
37607536	10.1016/j.cell.2023.07.034	2023	Cell	Tang F	Zhang Z	Biomedical Pioneering Innovation Center (BIOPIC), Academy for Advanced Interdisciplinary Studies, School of Life Sciences, Peking University, Beijing 100871, China.	scRNA	NOT_FOUND	N	N	N	Y	10	10	9512	unstated	N	unstated	NK_is_theme	tumor-associated NK cells enriched in tumors show impaired anti-tumor functions	none	zenodo.8275845 (via GSE162025)	Y	abstract+external_repository	we perform integrative single-cell RNA sequencing analyses on NK cells from 716 patients with cancer, covering 24 cancer types	NPC counts are from the deposited object comb_CD56_CD16_NK_blood.h5ad (Zenodo record 8275845): meta_histology 'Nasopharyngeal Carcinoma(NPC)' = 9,512 blood NK cells from 10 patients / 10 samples, all sourced from dataset GSE162025. Cell counts here are circulating NK cells only, not the whole NPC sample
35096485	10.1080/2162402x.2022.2026583	2022	Oncoimmunology	Peng WS	Hu CS	Department of Radiation Oncology, Fudan University Shanghai Cancer Center, Shanghai, China.	scRNA	Y	N	N	N	N	6	6	62164	mixed	N	unstated	subclustered	NK cells grouped into CD56brightCD16- and CD56dimCD16+ cytotoxic subtypes	none	NOT_FOUND	UNKNOWN	fullText	we generated scRNA-seq profiles for nasopharyngeal tumors from the six patients with NPC, four treatment-naive, and two recurrent samples	abstract states ~60,000 cells; full text reports 62,164 cells after QC. NK further grouped into five clusters
33531485	10.1038/s41467-021-21043-4	2021	Nat Commun	Liu Y	Bei JX	Sun Yat-sen University Cancer Center, State Key Laboratory of Oncology in South China, Collaborative Innovation Center for Cancer Medicine, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Guangzhou, 510060, People's Republic of China.	scRNA;scTCR	Y	N	N	N	Y	10	20	176447	unstated	N	unstated	subclustered	NK cells were decreased in the tumours compared to the PBMC	categorical	NOT_FOUND	UNKNOWN	fullText	a total of 176,447 cells were identified from the 10 patients (including 82,622 and 93,825 for tumours and PBMC, respectively)	10 tumour-blood pairs = 20 samples; NK subclusters named (e.g. NK_C2_FCER1G). GSE102349/GSE121600 cited are external datasets, not this study's deposit
33545035	10.1016/j.cell.2021.01.010	2021	Cell	Cheng S	Zhang Z	BIOPIC, Beijing Advanced Innovation Center for Genomics, School of Life Sciences, Peking University, Beijing 100871, China.	scRNA	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	210	NOT_FOUND	NOT_FOUND	unstated	N	unstated	NOT_FOUND	NOT_FOUND	none	NOT_FOUND	UNKNOWN	abstract_only	by performing a pan-cancer analysis of single myeloid cells from 210 patients across 15 human cancer types ... Mast cells in nasopharyngeal cancer were found to be associated with better prognosis	pan-cancer myeloid atlas; 210 patients is the whole pan-cancer cohort, NPC-specific counts not stated in retrieved text
33750785	10.1038/s41467-021-21795-z	2021	Nat Commun	Gong L	Guan XY	Department of Clinical Oncology, The University of Hong Kong-Shenzhen Hospital, Shenzhen, China.	scRNA;scTCR;scBCR	Y	N	N	Y	N	14	NOT_FOUND	66627	unstated	N	unstated	subclustered	NK cells in the NPC microenvironment remained immune activated	none	NOT_FOUND	UNKNOWN	fullText	we performed 5' single-cell RNA sequencing integrated with V(D)J profiling on 14 patients with either nasopharyngeal carcinoma (NPC) or nasopharyngeal lymphatic hyperplasia (NLH)	normal comparator is nasopharyngeal lymphatic hyperplasia (NLH); dedicated NK results section with MAST profiling and exhaustion-marker assessment
34253636	10.1136/jitc-2020-002101	2021	J Immunother Cancer	Li JP	Zhong Q	Sun Yat-Sen University Cancer Center, State Key Laboratory of Oncology in South China, Collaborative Innovation Center for Cancer Medicine, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Guangzhou, People's Republic of China.	scRNA	Y	N	N	Y	Y	NOT_FOUND	NOT_FOUND	NOT_FOUND	unstated	N	unstated	absent	NOT_FOUND	none	NOT_FOUND	UNKNOWN	fullText	Mononuclear cells were isolated from the blood and tissues as described previously. Peripheral blood mononuclear cells (PBMCs) were isolated using Ficoll density gradient centrifugation.	blood used for FACS and in vitro differentiation; retrieved text does not state whether scRNA-seq itself covered PBMC
32061950	10.1016/j.canlet.2020.02.010	2020	Cancer Lett	Zhao J	Zeng Z	NHC Key Laboratory of Carcinogenesis and Hunan Key Laboratory of Translational Radiation Oncology, Hunan Cancer Hospital and the Affiliated Cancer Hospital of Xiangya School of Medicine, Central South University, Changsha, Hunan, China; Key Laboratory of Carcinogenesis and Cancer Invasion of the Chi	scRNA;scTCR	Y	N	N	N	N	3	3	NOT_FOUND	unstated	N	unstated	NOT_FOUND	NOT_FOUND	none	NOT_FOUND	UNKNOWN	abstract_only	we performed single cell RNA-seq and analyzed tumor cells together with the infiltrating immune cells from three NPC tumor tissues	full text not retrievable from Europe PMC; NK not assessable from abstract
32686767	10.1038/s41422-020-0374-x	2020	Cell Res	Chen YP	Ma J	Department of Radiation Oncology, State Key Laboratory of Oncology in South China, Collaborative Innovation Center for Cancer Medicine, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Sun Yat-sen University Cancer Center, Guangzhou, Guangdong, 510060, China.	scRNA	Y	N	N	Y	N	15	16	47866	naive	N	M0_only	subclustered	NK cell signature significantly associated with improved survival outcomes in NPC	continuous	CNP0000428;GSE150430	N	fullText	Workflow diagram showing the collection and processing of fresh biopsy samples from 15 primary NPC tumors and one normal tissue for scRNA-seq	NK trap check: 'non-keratinizing' here is a histology descriptor of the enrolled patients, not NK cells; NK cells are separately analysed as natural killer cells in T/NK clusters
32901110	10.1038/s41422-020-00402-8	2020	Cell Res	Jin S	Zeng MS	Biomedical Pioneering Innovation Center (BIOPIC), and School of Life Sciences, Peking University, Beijing, 100871, China.	scRNA	Y	N	N	Y	N	NOT_FOUND	26	~104000	unstated	N	unstated	NOT_FOUND	NOT_FOUND	categorical	NOT_FOUND	UNKNOWN	abstract_only	Here we performed single-cell RNA sequencing on ~104,000 cells from 19 EBV + NPCs and 7 nonmalignant nasopharyngeal biopsies	19 EBV+ NPC + 7 nonmalignant biopsies = 26 samples; patient count not stated in abstract
