# Accession-level inventory (raw material for Q-F)
# run date: 2026-08-24 | GEO fields from NCBI E-utilities esummary db=gds
# includes_blood is decided from repository metadata (series/sample titles), not from paper prose
accession	repository	n_samples	is_NPC	is_single_cell	includes_blood	taxon	title	sample_titles	cited_by_included	cited_by_secondary
GSE32389	GEO	20	Y	N	N	Homo sapiens	Nasopharyngeal carcinoma patient samples: radio-sensitive samples vs. radio-resistant samples	Radio-resistant nasopharyngeal carcinoma patient NO.157 Radio-resistant nasopharyngeal carcinoma patient NO.108 Radio-sensitive nasopharyngeal carcinoma patient NO.102 Radio-sensitive nasopharyngeal carcinoma patient NO.6 Radio-resistant nasopharyngeal carcinoma patient NO.25 Radio-sensitive nasopharyngeal carcinoma patient NO.19 Radio-resistant nasopharyngeal carcinoma patient NO.87 Radio-resista	40530955	-
GSE34573	GEO	64	Y	N	N	Homo sapiens	A Global View of the Oncogenic Landscape in Nasopharyngeal Carcinoma:An Integrated Analysis at the Genetic and Expression Levels	YH8 C666 HKC1 MMAH MKEC MKEC XY5 MBEZ XY6 MDIG HKC1 MDIG XY16 XY5 1834 1906 C666 HK4 MKAV MMAH XY23 1836 C666 MMAH MOUZ MHAU XY6 HKC1 HKC2 HK4 MOUZ HKC2 1635 HK4 XY6 HK6 1836 XY8 MKAV XY23 1680 HKD1 Amp_C666 MKAV T3 YH7 1834 MSTA Amp_C666 MKEC 1906 XY8 MOUZ HK6 1680 HK6 XY23 HKD1 XY16 MDIG HKD1 1635 XY8 XY5	-	-
GSE53819	GEO	36	Y	N	N	Homo sapiens	Genome-wide expressing profiling of nasopharyngeal carcinoma primary tumors versus non-cancerous nasopharyngeal tissues.	NPC PT-116-rep1 NPC PT-102-rep1 NCNT-201-rep1 NCNT-204-rep1 NCNT-215-rep1 NCNT-218-rep1 NPC PT-113-rep1 NPC PT-110-rep1 NCNT-216-rep1 NCNT-212-rep1 NPC PT-117-rep1 NPC PT-114-rep1 NCNT-207-rep1 NCNT-210-rep1 NPC PT-111-rep1 NPC PT-105-rep1 NCNT-213-rep1 NPC PT-108-rep1 NPC PT-109-rep1 NPC PT-112-rep1 NCNT-208-rep1 NPC PT-106-rep1 NCNT-214-rep1 NCNT-205-rep1 NCNT-211-rep1 NCNT-202-rep1 NPC PT-115-r	40389670	41718918
GSE6472	GEO	6	Y	N	N	Homo sapiens	The influence of highly recurrent EBV reactivation on genetic copy number alterations	NA_reactivation_15 time_rep1 NA_reactivation_1 time_rep1 NA_reactivation_15 time_rep2 NA_passage_15 time_rep1 NA_passage_15 times_rep2 NA_reactivation_1 time_rep2	-	-
GSE68799	GEO	46	Y	N	N	Homo sapiens	RNASeq identified human transcriptome alterations in Chinese Nasopharyngeal Carcinoma	nonNPC-721T NPC-718T nonNPC-742T NPC-737T NPC-757T NPC-746T NPC-754T NPC-713T NPC-728T NPC-724T nonNPC-703T NPC-749T NPC-711T NPC-731T NPC-707T NPC-714T NPC-740T NPC-743T NPC-735T NPC-719T NPC-708T NPC-722T NPC-751T NPC-747T NPC-704T NPC-701T NPC-755T NPC-741T NPC-732T NPC-729T NPC-736T NPC-744T NPC-725T NPC-716T nonNPC-727T NPC-712T NPC-730T NPC-752T NPC-720T NPC-733T NPC-723T NPC-748T NPC-710T N	40389670	41718918
GSE74154	GEO	6	Y	Y	N	Homo sapiens	Expression data from the human nasopharyngeal carcinoma cell line CNE2Z transfected with AGO2 shRNAs or control shRNA	CNE2Z transfected with AGO2 shRNAs, biological rep2 CNE2Z transfected with AGO2 shRNAs, biological rep3 CNE2Z transfected with control shRNA, biological rep2 CNE2Z transfected with AGO2 shRNAs, biological rep1 CNE2Z transfected with control shRNA, biological rep1 CNE2Z transfected with control shRNA, biological rep3	-	-
GSE91061	GEO	109	N	N	N	Homo sapiens	Molecular portraits of tumor mutational and micro-environmental sculpting by immune checkpoint blockade therapy	Pt16_On_AD167378-6 Pt47_Pre_AD506073-6 Pt5_On_E9047635-6 Pt36_On_AD495182-6 Pt39_Pre_AD485899-5 Pt62_Pre_AD608303-5 Pt2_On_AD174046-6 Pt78_On_AE148748-6 Pt34_On_AD485757-6 Pt68_On_AD635729-6 Pt44_On_AD167376-6 Pt4_On_E9047643-7 Pt81_On_AD681973-5 Pt52_Pre_AD506075-6 Pt28_Pre_AD297619-6 Pt18_Pre_E9024732-6 Pt49_On_AD681976-5 Pt108_On_AE373243-6 Pt46_On_AD781834-6 Pt82_Pre_AD823914-8 Pt80_On_AD46787	-	-
GSE99254	GEO	14	N	Y	N	Homo sapiens	T cell landscape of non-small cell lung cancer revealed by deep single-cell RNA sequencing	P0913 P1202 P0617 P0706 P1219 P0729 P1120 P1011 P0616A P0619 P1118 P1208 P0616P P1010	-	-
GSE9925411	other	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	-	-
HRA000034	GSA-Human	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	36739462	-
HRA000035	GSA-Human	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	36739462	-
HRA000036	GSA-Human	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	36739462,36739462	39158776
HRA000087	GSA-Human	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	-	40624598
HRA000159	GSA-Human	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	-	-
HRA003340	GSA-Human	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	37349991	40118861
HRA003609	GSA-Human	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	42245668	-
HRA004738	GSA-Human	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	-	-
HRA005638	GSA-Human	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	40265092	-
HRA006885	GSA-Human	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	39231979	-
HRA008590	GSA-Human	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	40315843	-
HRA010229	GSA-Human	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	40059116	-
OEP005136	NODE	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	41619722	-
OMIX013224	OMIX	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	42245668	-
PRJNA705464	SRA	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	-	-
